year,t_ita_local,t_ger_local,t_rom_local,p_ita_local,p_ger_local,p_rom_local
1901,12.89166658,7.083333333,7.283333342,1037.6,724.7,760.4
1902,13.19999992,6.74166665,6.366666658,911.500001,659.3,565.4999977
1903,13.19999992,8.275000092,7.79166675,871.800011,600.19999,519.8999869
1904,13.72499992,8.116666667,6.833333325,880.8,557.09999,627.2
1905,12.90833325,7.733333333,7.399999992,1098.3,736.5,577
1906,13.13333333,8.15,7.683333333,949.09999,794.09999,632.50001
1907,13.13333333,7.575000003,6.466666667,868.1,637,517.099996
1908,12.83333333,7.016666667,6.958333417,693.40001,614.800009,576.1
1909,12.84166675,7.016666667,7.208333333,838.60001,674.49999,521.5
1910,13.08333342,8.091666667,8.21666665,968.10001,645.099989,661.799991
1911,13.625,8.858333333,7.316666833,903.600001,433.9,728.50001
1912,12.93333333,7.633333417,6.6083334,707.60003,679.2,794
1913,13.15833325,8.158333333,7.441666667,754.6,600.4,600.50001
1914,13.01666667,8.166666583,6.933333333,826.70001,696.9,753.099992
1915,13.15833333,7.691666667,7.608333317,1067.1,610.6,604
1916,13.51666667,8.1,8.4,923.000004,695.40001,650.799987
1917,13.01666675,7.141666675,7.291666742,943.400001,636.199999,538.1
1918,12.88333325,8.275000008,7.95,758.799996,626.9,708.6
1919,12.9833335,6.875000008,7.141666667,676.80001,632.4,637.300001
1920,14.05000008,8.216666667,7.283333333,786.400001,577.400008,640.5
1921,13.68333325,8.508333334,7.416666925,745.4,483.6,488.399998
1922,13.20833333,6.633333333,6.633333333,650.9,811.99999,729.9
1923,13.7916665,7.683333333,8.241666667,711.800009,667.3,597.2
1924,13.56666675,7.191666667,7.041666658,710.7,662.3,554
1925,13.29166675,8.091666667,8.3,678.5,631.50001,585.9
1926,13.98333333,8.508333333,8.108333417,783,740.7,575.8999969
1927,14.19166658,7.71666675,7.91666675,873.70001,672.29999,604.19999
1928,13.9,8.066666667,6.950000167,900.600009,606.19999,580.50001
1929,13.34999988,7.433333333,6.483333333,855.3,526.1,524.90001
1930,13.96666667,8.641666667,8.166666667,799.89999,710.8,657.29999
1931,13.4,6.591666642,7.025000067,713.0999988,739.60001,557.400001
1932,13.19166675,7.71666665,7.141666667,838.6,586.1,650.6
1933,12.875,6.841666667,5.733333325,1119.7,558.89999,832.29999
1934,13.77499992,8.60833325,8.400000083,914.5,462.6,469.9
1935,13.26666658,7.300000083,6.900000008,854.199999,625.5,450.1
1936,13.41666667,7.500000008,8.350000083,863.400012,714.5,554.30001
1937,13.55833325,7.533333417,7.866666667,1033.40002,639.3,646.5
1938,13.18333325,7.683333342,7.891666667,665.6999985,570.09999,658.10001
1939,13.21666675,7.333333358,7.916666667,909.3,762.2,558.8
1940,12.45833333,5.76666675,5.683333417,790.4,709.8,826.4
1941,12.97499992,6.024999934,6.508333333,893.399999,771.8,856.90001
1942,13.84166667,6.483333317,5.825,649.899998,529.49997,600.3
1943,14.31666675,7.966666667,7.441666667,867,481.299996,515.3
1944,13.16666658,7.416666758,7.341666658,672,703.69999,634.8
1945,13.875,8.075000001,7.15,384.800004,645.5,440.30001
1946,13.36666667,7.7,8.083333333,775.599998,666.50001,537.000001
1947,14.00833333,7.908333333,7.308333333,770.600019,626.3,700.9
1948,13.51666675,8.441666658,7.825,626.700008,584.2,604.899996
1949,13.8916665,8.491666675,7.88333335,804.500011,561.4,558.299999
1950,14.11666667,7.916666667,8.241666658,701.000011,800.00001,567.39999
1951,13.41666667,8.525000083,8.816666667,948.7,699.8,518.4
1952,13.39166667,7.733333342,7.75,587.999998,762.4,497.6
1953,13.00833333,8.783333342,7.266666667,729.099996,518.89999,419.8
1954,12.625,7.516666667,6.783333333,696.5,740.1,534.3
1955,13.325,7.05,7.366666667,575.3,700.5,748.00001
1956,12.66666675,6.716666667,6.15,733.599997,868.5,500.00001
1957,13.49166667,8.241666667,7.916666667,642.2,674.5,515.10001
1958,13.64166675,7.783333433,7.975000092,601.500008,841.1,596
1959,13.70833342,8.65833325,7.400000083,887.80001,419.7999959,469.700011
1960,13.49999992,7.941666583,8.291666667,948.30001,853.89999,537.19999
1961,14.25,8.483333333,7.85833325,691.099997,801.9,461.999998
1962,13.29999992,6.516666642,7.408333342,725.79999,567.79999,545.999999
1963,13.29166658,6.308333417,6.983333333,695.70001,593.100007,521.799999
1964,13.60833325,7.500000067,6.808333333,904.5,533.8,521.3
1965,12.75,6.841666667,6.600000075,592.100007,772.5,537
1966,13.31666658,7.9,8.266666667,970,872.7,589.599999
1967,13.36666667,8.425,7.766666667,623.50001,717.3,559.50001
1968,13.01666667,7.466666667,7.94166675,650.599997,661.1,587
1969,13.08333333,7.075000075,6.59166675,778.59999,664.5,713.799998
1970,13.40833333,7.158333325,7.733333333,540.400002,768.49999,777.4
1971,13.28333317,7.866666658,7.61666665,710.100002,477.2,657.50001
1972,13.35,7.125,7.55,900.1,616.499994,746.899993
1973,13.45,7.708333417,7.233333333,698.3,545.7,496.40001
1974,13.25833342,8.30833325,7.683333325,647.9,683.1,687.399992
1975,13.22499992,8.458333425,8.341666742,771.400004,520.10001,589.800002
1976,13.19166675,7.983333325,6.333333408,846.20002,489,643.300022
1977,13.475,8.000000008,7.691666667,593.8,756.69999,629.70001
1978,12.99166675,7.20833335,6.625,714.20001,539.700003,733.199999
1979,13.76666658,7.016666667,7.800000083,904.8000046,641.49999,596.49999
1980,12.89166658,7.075,6.358333325,889.800008,620.19999,645.599991
1981,13.1,7.758333417,7.475,602.199998,905.29999,682.5
1982,14.14166667,8.833333417,7.350000067,989.3,449.599978,474.900008
1983,13.41666667,8.716666667,8.050000025,701.300022,614.9,517.9
1984,12.925,7.608333425,7.316666667,857.79999,768.799993,695.7
1985,13.58333342,6.950000083,6.041666742,647.4,557.100001,572
1986,13.41666675,7.558333337,7.583333333,809.900002,718.5,380.30001
1987,13.84999992,6.808333333,6.591666667,804.599987,820.29998,491.39999
1988,13.88333333,8.816666667,7.358333333,694.5,647,618.3
1989,13.45,9.258333333,8.500000083,840.70001,563.1,563.900001
1990,14.06666667,9.275000083,8.791666667,1111.00001,601.50001,471.600001
1991,13.32500008,8.141666667,7.35,536.800013,465.4,721.10001
1992,14.31666658,9,7.908333333,643.800002,761.7,512.200006
1993,13.60000008,8.066666675,7.208333325,638.700008,727.4,561.20001
1994,14.41666667,9.383333333,8.983333267,583.900009,790.30001,487
1995,13.425,8.508333333,7.725000083,605.2,709.2,643.700006
1996,13.68333342,6.508333242,7.733333417,723.40001,638.600002,703.8
1997,14.275,8.516666667,7.16666675,714.199998,636.7,646.400002
1998,13.78333342,8.675,7.7750001,679.90001,799.1,669
1999,14.03333333,9.233333333,8.74166675,712.000002,691.4,577.40001
2000,14.44166667,9.566666592,8.983333325,576.900002,649.30001,402.900006
2001,14.33333333,8.616666683,8.291666667,616,731.6,688
2002,14.40000008,8.858333358,8.68333325,814.099999,960.60001,515.10001
2003,14.58333325,8.808333333,7.758333317,538.399998,528.4,415.60001
2004,14.11666658,8.54166667,8.15,603.500013,640.1,620.6
2005,13.47499992,8.675,7.825,637.90001,601.79999,681.3
2006,14.12499992,9.083333333,7.8333334,441.000004,621.3,625.800019
2007,14.35833325,9.399999908,9.558333417,377.300015,912.900002,635.79999
2008,14.39999992,9.016666583,9.05,869.800011,645.1,685.199991
2009,14.43333325,8.841666583,9.158333325,631.400002,718.6,492.40001
